rank,factor,total_refs,as_cause,as_effect,transcripts
1,water service sustainability,218,1,217,94
2,community awareness,83,57,26,42
3,stakeholder coordination,71,61,10,33
4,water supply,61,15,46,35
5,population growth,49,46,3,40
6,sustainable water service,45,12,33,24
7,inter-sector coordination,43,36,7,16
8,community ownership,39,19,20,17
9,coordination,37,29,8,18
10,water availability,36,12,24,24
11,water scheme functionality,36,1,35,24
12,waste disposal site,31,31,0,12
13,water access,31,13,18,16
14,project sustainability,30,0,30,19
15,open defecation,29,4,25,19
16,community health,27,1,26,22
17,water scheme sustainability,27,0,27,17
18,budget,24,23,1,16
19,WASH forum participation,23,23,0,13
20,spare parts availability,23,17,6,16
21,water service delivery,23,2,21,19
22,sanitation problems,22,3,19,13
23,water scheme development,22,1,21,13
24,sense of ownership,21,8,13,11
25,sustainable sanitation service,21,1,20,10
26,water service,21,3,18,15
27,sanitation service sustainability,20,0,20,10
28,water coverage,20,3,17,14
29,water supply adequacy,20,0,20,16
30,improper waste disposal,19,7,12,9
31,budget allocation,18,16,2,10
32,coordination effectiveness,18,0,18,14
33,operational costs,18,3,15,9
34,community sense of ownership,17,9,8,10
35,government budget,17,17,0,14
36,skilled manpower,17,15,2,8
37,clean water access,16,12,4,11
38,community mobilization,16,11,5,13
39,water scheme management,16,2,14,12
40,borehole functionality,15,4,11,12
41,water contamination,15,3,12,10
42,water quality,15,1,14,11
43,WASH Forum participation,14,14,0,8
44,inter-organizational coordination,14,12,2,5
45,water and sanitation sustainability,14,0,14,2
46,water project sustainability,14,0,14,10
47,water scheme maintenance,14,0,14,10
48,water shortage,14,7,7,12
49,awareness creation,13,11,2,8
50,community awareness on sanitation,13,6,7,8
51,community participation,13,9,4,10
52,community training,13,8,5,7
53,fund misappropriation,13,1,12,7
54,maintenance capacity,13,1,12,11
55,proper waste disposal practices,13,1,12,7
56,resource mobilization,13,3,10,11
57,waste management,13,2,11,9
58,water service continuity,13,0,13,10
59,water service coverage,13,0,13,10
60,water supply shortage,13,4,9,7
61,accountability,12,7,5,7
62,environmental pollution,12,1,11,10
63,liquid waste management,12,1,11,9
64,maintenance funding,12,2,10,6
65,operation and maintenance costs,12,4,8,5
66,operational cost,12,2,10,3
67,sanitation sustainability,12,0,12,3
68,solid waste management,12,0,12,8
69,sustainable sanitation,12,1,11,6
70,waste disposal place,12,12,0,2
71,water demand,12,3,9,9
72,WASH stakeholder coordination,11,9,2,6
73,climate change,11,9,2,7
74,financial accountability,11,3,8,7
75,government budget allocation,11,11,0,9
76,revenue collection,11,4,7,5
77,sanitation problem resolution,11,1,10,7
78,capacity building,10,9,1,8
79,community awareness on waste disposal,10,6,4,6
80,inter-agency coordination,10,7,3,8
81,political interference,10,7,3,5
82,proper waste disposal,10,1,9,7
83,scheme management capacity,10,2,8,5
84,scheme management quality,10,1,9,7
85,scheme sustainability,10,0,10,7
86,town image,10,3,7,5
87,waste disposal site availability,10,9,1,5
88,water facility sustainability,10,0,10,5
89,water service improvement,10,0,10,9
90,water service provision,10,0,10,10
91,financial resources,9,9,0,5
92,land ownership disputes,9,4,5,5
93,scheme financial sustainability,9,0,9,7
94,water supply capacity,9,1,8,9
95,water wastage,9,2,7,5
96,awareness creation programs,8,8,0,5
97,borehole development,8,2,6,8
98,city cleanliness,8,2,6,4
99,community awareness on waste management,8,6,2,7
100,community financial contribution,8,6,2,7
101,community responsibility,8,5,3,6
102,community water access,8,0,8,7
103,financial management capacity,8,3,5,6
104,inter-office coordination,8,8,0,5
105,latrine cleanliness,8,1,7,4
106,management committee training,8,7,1,6
107,officer mobility,8,6,2,2
108,operation and maintenance,8,1,7,5
109,spare parts procurement,8,1,7,7
110,water scheme construction,8,0,8,6
111,water service access,8,3,5,6
112,water service management,8,0,8,7
113,NGO support,7,7,0,7
114,community behavior change,7,3,4,4
115,community engagement,7,3,4,6
116,community project ownership,7,4,3,5
117,community settlement,7,2,5,3
118,environmental contamination,7,1,6,5
119,equitable water distribution,7,1,6,4
120,financial management,7,4,3,4
121,latrine overflow,7,3,4,4
122,policy guidelines,7,7,0,1
123,road access,7,6,1,4
124,scheme management,7,1,6,5
125,staff turnover,7,4,3,4
126,stakeholder collaboration,7,6,1,6
127,standard waste disposal site,7,7,0,4
128,sub-county officer facilitation,7,4,3,1
129,timely maintenance,7,4,3,4
130,training,7,7,0,6
131,water borne diseases,7,0,7,4
132,water scheme monitoring,7,2,5,5
