bin,eigenvector,influence_raw,dependence_raw,influence,dependence,out_degree,in_degree,quadrant,loop_appearances
Sustainability,1.0,32,287,0.1488,1.0,10,16,Outcome,10373
Community / Users,0.6247,109,151,0.507,0.5261,15,15,Dynamic/Core,13415
O&M,0.5996,100,274,0.4651,0.9547,11,15,Dynamic/Core,10346
Service Performance,0.5527,51,182,0.2372,0.6341,5,15,Outcome,5835
Community Management,0.3238,116,109,0.5395,0.3798,13,13,Dynamic/Core,10811
Community Finance,0.2305,75,96,0.3488,0.3345,9,14,Dynamic/Core,7845
Govt / External Finance,0.2253,182,107,0.8465,0.3728,16,14,Dynamic/Core,13305
Infrastructure,0.1853,128,92,0.5953,0.3206,10,13,Dynamic/Core,8387
Govt Management,0.13,84,51,0.3907,0.1777,14,11,Target/Leverage,10901
Capacity Building,0.1214,202,52,0.9395,0.1812,14,11,Dynamic/Core,9499
Environmental,0.1075,29,39,0.1349,0.1359,6,9,Incidental,3798
Monitoring,0.1001,61,35,0.2837,0.122,13,11,Incidental,9773
Private Sector,0.0885,62,27,0.2884,0.0941,11,12,Incidental,9095
Planning,0.0553,48,27,0.2233,0.0941,9,9,Incidental,5044
Coordination,0.0356,215,22,1.0,0.0767,16,7,Target/Leverage,6837
Politics,0.0295,12,10,0.0558,0.0348,9,5,Incidental,3083
Laws + Regulations,0.0168,63,8,0.293,0.0279,15,6,Incidental,6283
