DOC ID,Statement,Cause Factor,Effect Factor,Challenge / Solution
1,Some of the water pipelines in this town are diverted before reaching the main reservoir. Water should not be distributed to the people unless it is treated at the main tanker.,pipeline diversion before reservoir,water treatment,Challenge
1,people are using water that is not well treated with chlorine. This is actually happening because of the low level of community awareness on water and sanitation services.,community awareness on water and sanitation,use of untreated water,Challenge
1,there are very old and damaged pipelines that have not been repaired since establishment.,old and damaged pipelines,water service sustainability,Challenge
1,We have also shortage of larger water reservoirs; water is being supplied through three tankers only.,water reservoir capacity,water supply,Challenge
1,Lack of good governance in the town is another problem affecting its sustainability.,good governance,water service sustainability,Challenge
1,There are no sufficient personnel in the sector in general and in our office in particular ... There are only two professional experts at the moment.,professional personnel,water service delivery,Challenge
1,There is one borehole that has already been constructed for the town but it's working nor since it is not supplied with tanker.,tanker supply,borehole functionality,Challenge
1,We have also a problem of laboratory or any other water treatment plants.,water treatment plants and laboratory,water treatment,Challenge
1,The first thing we need to do is to treat the water from contamination so that people can access pure water,water treatment,access to pure water,Solution
1,people can access pure water and be safe from communicable diseases.,access to pure water,communicable diseases,Solution
1,very old and broken pipes and available tankers need timely maintenance or total replacement.,timely maintenance and replacement of pipes and tankers,water service,Solution
1,Maintenance and replacement cost are expensive but it could be covered through regular government budget.,government budget,maintenance and replacement funding,Solution
1,"it needs mobilization of resources and finance from the community, private actors and NGOs.","finance from community, private actors and NGOs",resource mobilization,Solution
1,We should also teach our people to increase awareness on sanitation and hygiene.,sanitation and hygiene education,community awareness,Solution
1,There is also a need to engage the community with during design of water projects ... so that they can be responsible.,community engagement in water project design,community responsibility,Solution
1,recruitment of professionals and provide them with vocational training so that they can be responsible.,vocational training for professionals,professional capacity,Solution
1,The pipeline to be procured should have the right thickness and size so that it can be durable and accommodate water pressure.,pipeline thickness and size,pipeline durability,Solution
1,We have an office with the name of population council that can work closely with the community representatives in this and other related issues.,population council coordination with community representatives,community engagement,Solution
1,we need to create regular meetings and mobilization programs for the public in order to increase awareness.,regular meetings and public mobilization programs,community awareness,Solution
1,selfish people with in the community that don't care for the properties being damaged ... they lack a sense of belongingness to the public properties.,community sense of belonging to public properties,infrastructure damage,Challenge
1,corrupt character with some of the officials working in water and sanitation office. They do this to benefit some people at the cost of the majority.,corruption among water and sanitation officials,equitable water access,Challenge
1,we are explaining the community on the proper ways of waste disposal. We teach the techniques of disposal for both solid and liquid wastes,waste disposal education,proper waste disposal practices,Solution
1,Majority of the residents are disposing wastes everywhere and that is why we see rubbish and liquid waste on the main asphalt and river sides,proper waste disposal practices,environmental pollution,Challenge
1,"Once we have adequate water supply throughout the town, we can speak of sanitation and hygiene issues continuously.",adequate water supply,ability to address sanitation and hygiene,Solution
1,Clean water access is also vital for health as it will have little or no access to water-borne diseases.,clean water access,water-borne diseases,Solution
1,Children and mothers will be saved since they are among the most exposed segments of the population.,clean water access,child and maternal health,Solution
2,"if you see the human power placement, they assign people who are not well qualified. They don't have the moral to do their work.",qualification of assigned personnel,water and sanitation service quality,Challenge
2,The other factor is financial constraint. We have only one tractor/vehicle. No other facility exists.,financial constraint,water and sanitation service capacity,Challenge
2,"There is a solid waste disposal site, but it doesn't have facilities or it is not a standard disposal site.",standard waste disposal site,solid waste management,Challenge
2,There is no sewage disposal site at all.,sewage disposal site,liquid waste management,Challenge
2,"The main challenge is the problem of attitude and awareness with the community and its leadership. If we had been focused on this service, we would have matched both the financial and human resources.",community and leadership attitude toward sanitation,financial and human resource allocation for sanitation,Challenge
2,We outsourced a work to an association that does cleaning solid waste along the way from the university to the town. We financed the budget to this project.,outsourcing to cleaning association,solid waste removal,Solution
2,The other main challenge is awareness problem about sanitation both by the wereda office and the people.,sanitation awareness among wereda office and community,sanitation service sustainability,Challenge
2,"The sanitation sector is not financed by budget sufficiently. There is no sufficient human power, too.",budget allocation to sanitation sector,sanitation service capacity,Challenge
2,the urban administration couldn't supply the public with sufficient water access due to lack of financial capacity to do what is needed.,financial capacity of urban administration,water supply sufficiency,Challenge
