cause,Capacity Building,Community / Users,Community Finance,Community Management,Coordination,Environmental,Govt / External Finance,Govt Management,Infrastructure,Laws + Regulations,Monitoring,O&M,Planning,Politics,Private Sector,Service Performance,Sustainability
Capacity Building,2,9,0,5,1,0,1,1,6,0,1,8,1,0,0,7,6
Community / Users,4,73,7,11,6,17,7,4,37,0,3,30,5,0,7,85,28
Community Finance,0,5,8,4,1,0,6,2,12,1,1,14,1,0,1,16,8
Community Management,6,8,6,15,4,1,10,5,13,0,6,27,1,0,1,21,26
Coordination,1,7,1,5,22,1,7,1,16,2,3,4,7,0,1,29,18
Environmental,0,17,1,0,0,12,0,2,24,0,0,2,1,0,0,47,10
Govt / External Finance,4,12,3,3,2,3,8,2,46,0,2,18,3,0,1,41,20
Govt Management,3,16,4,5,4,3,11,13,24,4,15,19,4,0,1,38,19
Infrastructure,3,51,1,2,2,9,3,2,43,0,6,31,3,0,1,87,18
Laws + Regulations,0,5,1,2,0,0,1,1,10,4,3,1,0,1,0,8,7
Monitoring,1,4,3,4,3,0,3,3,7,1,11,4,2,0,0,12,10
O&M,1,6,4,2,0,0,4,4,18,0,1,36,2,0,1,47,25
Planning,0,9,1,0,2,1,1,1,8,0,0,1,2,0,1,17,4
Politics,1,2,3,8,1,1,0,6,1,0,1,3,1,1,0,4,2
Private Sector,2,4,0,2,0,0,1,0,4,1,0,4,1,1,4,9,3
Service Performance,1,53,7,1,1,16,3,5,27,0,0,10,3,1,1,91,23
Sustainability,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
