cause,Capacity Building,Community / Users,Community Finance,Community Management,Coordination,Environmental,Govt / External Finance,Govt Management,Infrastructure,Laws + Regulations,Monitoring,O&M,Planning,Politics,Private Sector,Service Performance,Sustainability
Capacity Building,10,43,3,26,5,6,6,16,21,3,5,23,2,0,0,28,14
Community / Users,5,80,7,20,14,13,19,7,30,5,9,27,9,1,4,60,32
Community Finance,1,6,8,3,0,0,11,2,3,1,3,9,0,1,0,15,9
Community Management,6,15,6,19,9,2,5,4,18,2,4,28,5,0,1,21,24
Coordination,18,44,3,13,62,8,33,14,54,7,12,19,14,0,2,73,56
Environmental,1,11,0,1,1,15,3,1,11,0,0,0,3,0,0,28,6
Govt / External Finance,4,11,0,2,5,1,16,11,42,0,3,24,4,0,2,33,14
Govt Management,8,19,9,10,15,3,18,22,32,3,11,22,5,3,3,47,17
Infrastructure,1,40,3,4,2,19,5,6,38,0,8,37,5,2,1,95,31
Laws + Regulations,1,10,1,3,2,1,4,4,3,15,6,3,1,5,1,12,3
Monitoring,1,4,5,7,6,1,6,1,13,2,9,5,8,0,5,23,13
O&M,3,9,2,1,1,0,4,3,10,0,1,45,0,0,0,46,18
Planning,3,13,0,2,2,1,2,0,12,1,2,1,7,0,1,13,5
Politics,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
Private Sector,1,3,0,1,1,0,2,1,6,0,0,16,3,0,6,13,4
Service Performance,1,63,10,2,5,14,7,5,21,2,2,9,2,2,7,88,24
Sustainability,0,7,0,0,0,0,0,1,2,0,0,0,1,0,1,0,1
