cause,Capacity Building,Community / Users,Community Finance,Community Management,Coordination,Environmental,Govt / External Finance,Govt Management,Infrastructure,Laws + Regulations,Monitoring,O&M,Planning,Politics,Private Sector,Service Performance,Sustainability
Capacity Building,8,2,9,6,0,1,1,1,0,0,1,34,0,0,0,3,9
Community / Users,2,53,12,11,0,8,2,1,10,0,0,8,3,0,1,32,27
Community Finance,0,4,20,1,1,1,18,1,1,1,0,29,0,0,1,3,26
Community Management,7,6,9,7,0,0,1,1,2,0,3,19,2,0,0,3,26
Coordination,0,8,1,5,8,0,9,5,5,0,3,2,2,0,0,10,15
Environmental,0,12,1,0,0,19,3,2,15,0,0,8,0,0,0,42,20
Govt / External Finance,11,7,0,4,3,1,14,6,19,0,4,27,1,0,3,22,22
Govt Management,0,4,0,3,5,0,7,0,3,0,2,16,0,0,1,4,8
Infrastructure,3,7,10,0,1,0,2,4,17,0,6,23,0,0,2,40,26
Laws + Regulations,3,0,9,2,0,0,2,1,3,2,2,3,0,0,1,1,2
Monitoring,1,3,4,1,0,0,0,0,4,0,0,10,0,0,0,3,3
O&M,2,4,8,1,1,0,5,1,2,0,1,41,0,0,0,19,71
Planning,0,1,1,2,0,1,4,0,7,0,1,0,0,0,1,11,6
Politics,3,2,8,2,5,0,5,2,3,1,0,4,1,0,1,4,2
Private Sector,0,1,1,0,1,0,1,0,2,0,1,10,0,0,1,2,1
Service Performance,0,30,1,0,0,1,1,0,3,0,0,4,0,0,1,13,17
Sustainability,2,3,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0
