cause,Capacity Building,Community / Users,Community Finance,Community Management,Coordination,Environmental,Govt / External Finance,Govt Management,Infrastructure,Laws + Regulations,Monitoring,O&M,Planning,Politics,Private Sector,Service Performance,Sustainability
Capacity Building,33,29,27,39,0,3,1,16,1,1,3,62,0,1,1,4,14
Community / Users,3,60,4,22,1,6,4,3,4,1,1,11,2,0,2,17,28
Community Finance,0,0,19,5,0,0,18,0,2,0,3,23,1,0,5,1,17
Community Management,3,6,15,8,1,1,4,4,3,0,0,26,4,0,1,11,37
Coordination,5,21,2,8,17,5,45,10,19,2,2,16,9,1,1,29,40
Environmental,0,1,0,0,0,16,3,0,2,0,0,3,0,0,0,14,6
Govt / External Finance,22,6,2,8,3,2,32,11,34,1,4,40,5,1,7,14,22
Govt Management,5,6,3,10,8,0,12,3,6,2,7,11,1,0,1,6,6
Infrastructure,1,12,6,3,0,12,4,0,16,0,3,31,0,0,0,36,20
Laws + Regulations,4,2,15,3,3,0,2,1,7,1,4,7,2,5,4,1,3
Monitoring,1,1,9,3,0,1,2,1,5,1,0,11,2,0,0,10,14
O&M,1,3,5,3,0,2,5,1,0,0,5,20,0,0,1,22,52
Planning,0,3,1,1,3,7,0,0,7,0,0,4,0,0,0,10,12
Politics,1,1,1,0,3,0,1,0,0,0,0,1,1,0,1,0,2
Private Sector,6,3,4,3,0,0,3,1,1,0,2,26,0,0,0,4,9
Service Performance,0,40,0,0,0,0,0,2,0,0,0,2,0,0,2,8,5
Sustainability,0,17,2,1,0,0,3,1,1,0,1,0,0,2,1,3,0
