cause,effect,system,weight,stmt_pos,stmt_neg
Service Performance,Service Performance,challenge,91,101,47
Infrastructure,Service Performance,challenge,87,109,45
Community / Users,Service Performance,challenge,85,70,60
Community / Users,Community / Users,challenge,73,68,44
Service Performance,Community / Users,challenge,53,40,35
Infrastructure,Community / Users,challenge,51,48,19
Environmental,Service Performance,challenge,47,22,45
O&M,Service Performance,challenge,47,49,13
Govt / External Finance,Infrastructure,challenge,46,37,10
Infrastructure,Infrastructure,challenge,43,43,13
Govt / External Finance,Service Performance,challenge,41,37,9
Govt Management,Service Performance,challenge,38,36,10
Community / Users,Infrastructure,challenge,37,20,22
O&M,O&M,challenge,36,38,7
Infrastructure,O&M,challenge,31,30,3
Community / Users,O&M,challenge,30,27,6
Coordination,Service Performance,challenge,29,27,8
Community / Users,Sustainability,challenge,28,18,15
Community Management,O&M,challenge,27,19,11
Service Performance,Infrastructure,challenge,27,20,9
Community Management,Sustainability,challenge,26,21,7
O&M,Sustainability,challenge,25,15,12
Environmental,Infrastructure,challenge,24,13,13
Govt Management,Infrastructure,challenge,24,20,5
Service Performance,Sustainability,challenge,23,15,10
Coordination,Coordination,challenge,22,16,10
Community Management,Service Performance,challenge,21,20,2
Govt / External Finance,Sustainability,challenge,20,13,9
Govt Management,O&M,challenge,19,15,5
Govt Management,Sustainability,challenge,19,15,6
Coordination,Sustainability,challenge,18,18,2
Govt / External Finance,O&M,challenge,18,14,5
Infrastructure,Sustainability,challenge,18,13,7
O&M,Infrastructure,challenge,18,14,6
Community / Users,Environmental,challenge,17,11,7
Environmental,Community / Users,challenge,17,15,4
Planning,Service Performance,challenge,17,17,4
Community Finance,Service Performance,challenge,16,11,5
Coordination,Infrastructure,challenge,16,13,4
Govt Management,Community / Users,challenge,16,12,4
Service Performance,Environmental,challenge,16,13,3
Community Management,Community Management,challenge,15,14,3
Govt Management,Monitoring,challenge,15,11,7
Community Finance,O&M,challenge,14,12,3
Community Management,Infrastructure,challenge,13,9,4
Govt Management,Govt Management,challenge,13,10,4
Community Finance,Infrastructure,challenge,12,9,3
Environmental,Environmental,challenge,12,6,7
Govt / External Finance,Community / Users,challenge,12,10,2
Monitoring,Service Performance,challenge,12,9,3
Community / Users,Community Management,challenge,11,11,1
Govt Management,Govt / External Finance,challenge,11,6,6
Monitoring,Monitoring,challenge,11,10,2
Community Management,Govt / External Finance,challenge,10,7,4
Environmental,Sustainability,challenge,10,5,6
Laws + Regulations,Infrastructure,challenge,10,4,6
Monitoring,Sustainability,challenge,10,10,0
Service Performance,O&M,challenge,10,9,1
Capacity Building,Community / Users,challenge,9,9,0
Infrastructure,Environmental,challenge,9,7,3
Planning,Community / Users,challenge,9,8,1
Private Sector,Service Performance,challenge,9,5,4
Capacity Building,O&M,challenge,8,8,1
Community Finance,Community Finance,challenge,8,10,1
Community Finance,Sustainability,challenge,8,7,1
Community Management,Community / Users,challenge,8,6,2
Govt / External Finance,Govt / External Finance,challenge,8,6,3
Laws + Regulations,Service Performance,challenge,8,5,3
Planning,Infrastructure,challenge,8,7,1
Politics,Community Management,challenge,8,1,8
Capacity Building,Service Performance,challenge,7,4,3
Community / Users,Community Finance,challenge,7,5,3
Community / Users,Govt / External Finance,challenge,7,5,2
Community / Users,Private Sector,challenge,7,4,3
Coordination,Community / Users,challenge,7,5,2
Coordination,Govt / External Finance,challenge,7,8,0
Coordination,Planning,challenge,7,8,0
Laws + Regulations,Sustainability,challenge,7,4,3
Monitoring,Infrastructure,challenge,7,7,1
Service Performance,Community Finance,challenge,7,3,4
Capacity Building,Infrastructure,challenge,6,5,1
Capacity Building,Sustainability,challenge,6,5,1
Community / Users,Coordination,challenge,6,4,3
Community Finance,Govt / External Finance,challenge,6,2,4
Community Management,Capacity Building,challenge,6,3,3
Community Management,Community Finance,challenge,6,3,3
Community Management,Monitoring,challenge,6,5,1
Infrastructure,Monitoring,challenge,6,5,1
O&M,Community / Users,challenge,6,5,1
Politics,Govt Management,challenge,6,2,5
Capacity Building,Community Management,challenge,5,5,0
Community / Users,Planning,challenge,5,4,1
Community Finance,Community / Users,challenge,5,4,1
Community Management,Govt Management,challenge,5,4,2
Coordination,Community Management,challenge,5,4,1
Govt Management,Community Management,challenge,5,4,2
Laws + Regulations,Community / Users,challenge,5,4,1
Service Performance,Govt Management,challenge,5,3,2
Community / Users,Capacity Building,challenge,4,3,1
Community / Users,Govt Management,challenge,4,2,2
Community Finance,Community Management,challenge,4,2,2
Community Management,Coordination,challenge,4,5,0
Coordination,O&M,challenge,4,4,0
Govt / External Finance,Capacity Building,challenge,4,4,0
Govt Management,Community Finance,challenge,4,1,3
Govt Management,Coordination,challenge,4,4,2
Govt Management,Laws + Regulations,challenge,4,3,1
Govt Management,Planning,challenge,4,2,3
Laws + Regulations,Laws + Regulations,challenge,4,3,1
Monitoring,Community / Users,challenge,4,2,2
Monitoring,Community Management,challenge,4,3,1
Monitoring,O&M,challenge,4,3,1
O&M,Community Finance,challenge,4,2,2
O&M,Govt / External Finance,challenge,4,1,3
O&M,Govt Management,challenge,4,2,2
Planning,Sustainability,challenge,4,3,2
Politics,Service Performance,challenge,4,2,2
Private Sector,Community / Users,challenge,4,4,0
Private Sector,Infrastructure,challenge,4,2,2
Private Sector,O&M,challenge,4,2,2
Private Sector,Private Sector,challenge,4,3,3
Community / Users,Monitoring,challenge,3,2,1
Coordination,Monitoring,challenge,3,3,0
Govt / External Finance,Community Finance,challenge,3,2,1
Govt / External Finance,Community Management,challenge,3,0,3
Govt / External Finance,Environmental,challenge,3,3,0
Govt / External Finance,Planning,challenge,3,2,1
Govt Management,Capacity Building,challenge,3,1,2
Govt Management,Environmental,challenge,3,2,1
Infrastructure,Capacity Building,challenge,3,3,0
Infrastructure,Govt / External Finance,challenge,3,1,2
Infrastructure,Planning,challenge,3,2,1
Laws + Regulations,Monitoring,challenge,3,3,0
Monitoring,Community Finance,challenge,3,2,1
Monitoring,Coordination,challenge,3,3,0
Monitoring,Govt / External Finance,challenge,3,3,0
Monitoring,Govt Management,challenge,3,2,1
Politics,Community Finance,challenge,3,0,3
Politics,O&M,challenge,3,0,3
Private Sector,Sustainability,challenge,3,2,1
Service Performance,Govt / External Finance,challenge,3,2,1
Service Performance,Planning,challenge,3,2,1
Capacity Building,Capacity Building,challenge,2,2,0
