From,To,Weight
Infrastructure,Service Performance,95
Service Performance,Service Performance,88
Community / Users,Community / Users,80
Coordination,Service Performance,73
Service Performance,Community / Users,63
Coordination,Coordination,62
Community / Users,Service Performance,60
Coordination,Sustainability,56
Coordination,Infrastructure,54
Govt Management,Service Performance,47
O&M,Service Performance,46
O&M,O&M,45
Coordination,Community / Users,44
Capacity Building,Community / Users,43
Govt / External Finance,Infrastructure,42
Infrastructure,Community / Users,40
Infrastructure,Infrastructure,38
Infrastructure,O&M,37
Coordination,Govt / External Finance,33
Govt / External Finance,Service Performance,33
Community / Users,Sustainability,32
Govt Management,Infrastructure,32
Infrastructure,Sustainability,31
Community / Users,Infrastructure,30
Capacity Building,Service Performance,28
Community Management,O&M,28
Environmental,Service Performance,28
Community / Users,O&M,27
Capacity Building,Community Management,26
Community Management,Sustainability,24
Govt / External Finance,O&M,24
Service Performance,Sustainability,24
Capacity Building,O&M,23
Monitoring,Service Performance,23
Govt Management,Govt Management,22
Govt Management,O&M,22
Capacity Building,Infrastructure,21
Community Management,Service Performance,21
Service Performance,Infrastructure,21
Community / Users,Community Management,20
Community / Users,Govt / External Finance,19
Community Management,Community Management,19
Coordination,O&M,19
Govt Management,Community / Users,19
Infrastructure,Environmental,19
Community Management,Infrastructure,18
Coordination,Capacity Building,18
Govt Management,Govt / External Finance,18
O&M,Sustainability,18
Govt Management,Sustainability,17
Capacity Building,Govt Management,16
Govt / External Finance,Govt / External Finance,16
Private Sector,O&M,16
Community Finance,Service Performance,15
Community Management,Community / Users,15
Environmental,Environmental,15
Govt Management,Coordination,15
Laws + Regulations,Laws + Regulations,15
Capacity Building,Sustainability,14
Community / Users,Coordination,14
Coordination,Govt Management,14
Coordination,Planning,14
Govt / External Finance,Sustainability,14
Service Performance,Environmental,14
Community / Users,Environmental,13
Coordination,Community Management,13
Monitoring,Infrastructure,13
Monitoring,Sustainability,13
Planning,Community / Users,13
Planning,Service Performance,13
Private Sector,Service Performance,13
Coordination,Monitoring,12
Laws + Regulations,Service Performance,12
Planning,Infrastructure,12
Community Finance,Govt / External Finance,11
Environmental,Community / Users,11
Environmental,Infrastructure,11
Govt / External Finance,Community / Users,11
Govt / External Finance,Govt Management,11
Govt Management,Monitoring,11
Capacity Building,Capacity Building,10
Govt Management,Community Management,10
Laws + Regulations,Community / Users,10
O&M,Infrastructure,10
Service Performance,Community Finance,10
Community / Users,Monitoring,9
Community / Users,Planning,9
Community Finance,O&M,9
Community Finance,Sustainability,9
Community Management,Coordination,9
Govt Management,Community Finance,9
Monitoring,Monitoring,9
O&M,Community / Users,9
Service Performance,O&M,9
Community Finance,Community Finance,8
Coordination,Environmental,8
Govt Management,Capacity Building,8
Infrastructure,Monitoring,8
Monitoring,Planning,8
Community / Users,Community Finance,7
Community / Users,Govt Management,7
Coordination,Laws + Regulations,7
Monitoring,Community Management,7
Planning,Planning,7
Service Performance,Govt / External Finance,7
Service Performance,Private Sector,7
Sustainability,Community / Users,7
Capacity Building,Environmental,6
Capacity Building,Govt / External Finance,6
Community Finance,Community / Users,6
Community Management,Capacity Building,6
Community Management,Community Finance,6
Environmental,Sustainability,6
Infrastructure,Govt Management,6
Laws + Regulations,Monitoring,6
Monitoring,Coordination,6
Monitoring,Govt / External Finance,6
Private Sector,Infrastructure,6
Private Sector,Private Sector,6
Capacity Building,Coordination,5
Capacity Building,Monitoring,5
Community / Users,Capacity Building,5
Community / Users,Laws + Regulations,5
Community Management,Govt / External Finance,5
Community Management,Planning,5
Govt / External Finance,Coordination,5
Govt Management,Planning,5
Infrastructure,Govt / External Finance,5
Infrastructure,Planning,5
Laws + Regulations,Politics,5
Monitoring,Community Finance,5
Monitoring,O&M,5
Monitoring,Private Sector,5
Planning,Sustainability,5
Service Performance,Coordination,5
Service Performance,Govt Management,5
Community / Users,Private Sector,4
Community Management,Govt Management,4
Community Management,Monitoring,4
Govt / External Finance,Capacity Building,4
Govt / External Finance,Planning,4
Infrastructure,Community Management,4
Laws + Regulations,Govt / External Finance,4
Laws + Regulations,Govt Management,4
Monitoring,Community / Users,4
O&M,Govt / External Finance,4
Private Sector,Sustainability,4
Capacity Building,Community Finance,3
Capacity Building,Laws + Regulations,3
Community Finance,Community Management,3
Community Finance,Infrastructure,3
Community Finance,Monitoring,3
Coordination,Community Finance,3
Environmental,Govt / External Finance,3
Environmental,Planning,3
Govt / External Finance,Monitoring,3
Govt Management,Environmental,3
Govt Management,Laws + Regulations,3
Govt Management,Politics,3
Govt Management,Private Sector,3
Infrastructure,Community Finance,3
Laws + Regulations,Community Management,3
Laws + Regulations,Infrastructure,3
Laws + Regulations,O&M,3
Laws + Regulations,Sustainability,3
O&M,Capacity Building,3
O&M,Govt Management,3
Planning,Capacity Building,3
Politics,Service Performance,3
Private Sector,Community / Users,3
Private Sector,Planning,3
Capacity Building,Planning,2
Community Finance,Govt Management,2
Community Management,Environmental,2
Community Management,Laws + Regulations,2
Coordination,Private Sector,2
Govt / External Finance,Community Management,2
Govt / External Finance,Private Sector,2
Infrastructure,Coordination,2
Infrastructure,Politics,2
Laws + Regulations,Coordination,2
Monitoring,Laws + Regulations,2
O&M,Community Finance,2
Planning,Community Management,2
Planning,Coordination,2
Planning,Govt / External Finance,2
Planning,Monitoring,2
Private Sector,Govt / External Finance,2
Service Performance,Community Management,2
Service Performance,Laws + Regulations,2
Service Performance,Monitoring,2
Service Performance,Planning,2
Service Performance,Politics,2
Sustainability,Infrastructure,2
Community / Users,Politics,1
Community Finance,Capacity Building,1
Community Finance,Laws + Regulations,1
Community Finance,Politics,1
Community Management,Private Sector,1
Environmental,Capacity Building,1
Environmental,Community Management,1
Environmental,Coordination,1
Environmental,Govt Management,1
Govt / External Finance,Environmental,1
Infrastructure,Capacity Building,1
Infrastructure,Private Sector,1
Laws + Regulations,Capacity Building,1
Laws + Regulations,Community Finance,1
Laws + Regulations,Environmental,1
Laws + Regulations,Planning,1
Laws + Regulations,Private Sector,1
Monitoring,Capacity Building,1
Monitoring,Environmental,1
Monitoring,Govt Management,1
O&M,Community Management,1
O&M,Coordination,1
O&M,Monitoring,1
Planning,Environmental,1
Planning,Laws + Regulations,1
Planning,O&M,1
Planning,Private Sector,1
Politics,Community / Users,1
Politics,Private Sector,1
Private Sector,Capacity Building,1
Private Sector,Community Management,1
Private Sector,Coordination,1
Private Sector,Govt Management,1
Service Performance,Capacity Building,1
Sustainability,Govt Management,1
Sustainability,Planning,1
Sustainability,Private Sector,1
Sustainability,Sustainability,1
