From,To,Weight
O&M,Sustainability,71
Community / Users,Community / Users,53
Environmental,Service Performance,42
O&M,O&M,41
Infrastructure,Service Performance,40
Capacity Building,O&M,34
Community / Users,Service Performance,32
Service Performance,Community / Users,30
Community Finance,O&M,29
Community / Users,Sustainability,27
Govt / External Finance,O&M,27
Community Finance,Sustainability,26
Community Management,Sustainability,26
Infrastructure,Sustainability,26
Infrastructure,O&M,23
Govt / External Finance,Service Performance,22
Govt / External Finance,Sustainability,22
Community Finance,Community Finance,20
Environmental,Sustainability,20
Community Management,O&M,19
Environmental,Environmental,19
Govt / External Finance,Infrastructure,19
O&M,Service Performance,19
Community Finance,Govt / External Finance,18
Infrastructure,Infrastructure,17
Service Performance,Sustainability,17
Govt Management,O&M,16
Coordination,Sustainability,15
Environmental,Infrastructure,15
Govt / External Finance,Govt / External Finance,14
Service Performance,Service Performance,13
Community / Users,Community Finance,12
Environmental,Community / Users,12
Community / Users,Community Management,11
Govt / External Finance,Capacity Building,11
Planning,Service Performance,11
Community / Users,Infrastructure,10
Coordination,Service Performance,10
Infrastructure,Community Finance,10
Monitoring,O&M,10
Private Sector,O&M,10
Capacity Building,Community Finance,9
Capacity Building,Sustainability,9
Community Management,Community Finance,9
Coordination,Govt / External Finance,9
Laws + Regulations,Community Finance,9
Capacity Building,Capacity Building,8
Community / Users,Environmental,8
Community / Users,O&M,8
Coordination,Community / Users,8
Coordination,Coordination,8
Environmental,O&M,8
Govt Management,Sustainability,8
O&M,Community Finance,8
Politics,Community Finance,8
Community Management,Capacity Building,7
Community Management,Community Management,7
Govt / External Finance,Community / Users,7
Govt Management,Govt / External Finance,7
Infrastructure,Community / Users,7
Planning,Infrastructure,7
Capacity Building,Community Management,6
Community Management,Community / Users,6
Govt / External Finance,Govt Management,6
Infrastructure,Monitoring,6
Planning,Sustainability,6
Coordination,Community Management,5
Coordination,Govt Management,5
Coordination,Infrastructure,5
Govt Management,Coordination,5
O&M,Govt / External Finance,5
Politics,Coordination,5
Politics,Govt / External Finance,5
Community Finance,Community / Users,4
Govt / External Finance,Community Management,4
Govt / External Finance,Monitoring,4
Govt Management,Community / Users,4
Govt Management,Service Performance,4
Infrastructure,Govt Management,4
Monitoring,Community Finance,4
Monitoring,Infrastructure,4
O&M,Community / Users,4
Planning,Govt / External Finance,4
Politics,O&M,4
Politics,Service Performance,4
Service Performance,O&M,4
Capacity Building,Service Performance,3
Community / Users,Planning,3
Community Finance,Service Performance,3
Community Management,Monitoring,3
Community Management,Service Performance,3
Coordination,Monitoring,3
Environmental,Govt / External Finance,3
Govt / External Finance,Coordination,3
Govt / External Finance,Private Sector,3
Govt Management,Community Management,3
Govt Management,Infrastructure,3
Infrastructure,Capacity Building,3
Laws + Regulations,Capacity Building,3
Laws + Regulations,Infrastructure,3
Laws + Regulations,O&M,3
Monitoring,Community / Users,3
Monitoring,Service Performance,3
Monitoring,Sustainability,3
Politics,Capacity Building,3
Politics,Infrastructure,3
Service Performance,Infrastructure,3
Sustainability,Community / Users,3
Sustainability,Community Finance,3
Capacity Building,Community / Users,2
Community / Users,Capacity Building,2
Community / Users,Govt / External Finance,2
Community Management,Infrastructure,2
Community Management,Planning,2
Coordination,O&M,2
Coordination,Planning,2
Environmental,Govt Management,2
Govt Management,Monitoring,2
Infrastructure,Govt / External Finance,2
Infrastructure,Private Sector,2
Laws + Regulations,Community Management,2
Laws + Regulations,Govt / External Finance,2
Laws + Regulations,Laws + Regulations,2
Laws + Regulations,Monitoring,2
Laws + Regulations,Sustainability,2
O&M,Capacity Building,2
O&M,Infrastructure,2
Planning,Community Management,2
Politics,Community / Users,2
Politics,Community Management,2
Politics,Govt Management,2
Politics,Sustainability,2
Private Sector,Infrastructure,2
Private Sector,Service Performance,2
Sustainability,Capacity Building,2
Capacity Building,Environmental,1
Capacity Building,Govt / External Finance,1
Capacity Building,Govt Management,1
Capacity Building,Monitoring,1
Community / Users,Govt Management,1
Community / Users,Private Sector,1
Community Finance,Community Management,1
Community Finance,Coordination,1
Community Finance,Environmental,1
Community Finance,Govt Management,1
Community Finance,Infrastructure,1
Community Finance,Laws + Regulations,1
Community Finance,Private Sector,1
Community Management,Govt / External Finance,1
Community Management,Govt Management,1
Coordination,Community Finance,1
Environmental,Community Finance,1
Govt / External Finance,Environmental,1
Govt / External Finance,Planning,1
Govt Management,Private Sector,1
Infrastructure,Coordination,1
Laws + Regulations,Govt Management,1
Laws + Regulations,Private Sector,1
Laws + Regulations,Service Performance,1
Monitoring,Capacity Building,1
Monitoring,Community Management,1
O&M,Community Management,1
O&M,Coordination,1
O&M,Govt Management,1
O&M,Monitoring,1
Planning,Community / Users,1
Planning,Community Finance,1
Planning,Environmental,1
Planning,Monitoring,1
Planning,Private Sector,1
Politics,Laws + Regulations,1
Politics,Planning,1
Politics,Private Sector,1
Private Sector,Community / Users,1
Private Sector,Community Finance,1
Private Sector,Coordination,1
Private Sector,Govt / External Finance,1
Private Sector,Monitoring,1
Private Sector,Private Sector,1
Private Sector,Sustainability,1
Service Performance,Community Finance,1
Service Performance,Environmental,1
Service Performance,Govt / External Finance,1
Service Performance,Private Sector,1
Sustainability,Govt / External Finance,1
Sustainability,O&M,1
Sustainability,Politics,1
