cause,effect,system,weight
O&M,Sustainability,challenge,71
Community / Users,Community / Users,challenge,53
Environmental,Service Performance,challenge,42
O&M,O&M,challenge,41
Infrastructure,Service Performance,challenge,40
Capacity Building,O&M,challenge,34
Community / Users,Service Performance,challenge,32
Service Performance,Community / Users,challenge,30
Community Finance,O&M,challenge,29
Community / Users,Sustainability,challenge,27
Govt / External Finance,O&M,challenge,27
Community Finance,Sustainability,challenge,26
Community Management,Sustainability,challenge,26
Infrastructure,Sustainability,challenge,26
Infrastructure,O&M,challenge,23
Govt / External Finance,Service Performance,challenge,22
Govt / External Finance,Sustainability,challenge,22
Community Finance,Community Finance,challenge,20
Environmental,Sustainability,challenge,20
Community Management,O&M,challenge,19
Environmental,Environmental,challenge,19
Govt / External Finance,Infrastructure,challenge,19
O&M,Service Performance,challenge,19
Community Finance,Govt / External Finance,challenge,18
Infrastructure,Infrastructure,challenge,17
Service Performance,Sustainability,challenge,17
Govt Management,O&M,challenge,16
Coordination,Sustainability,challenge,15
Environmental,Infrastructure,challenge,15
Govt / External Finance,Govt / External Finance,challenge,14
Service Performance,Service Performance,challenge,13
Community / Users,Community Finance,challenge,12
Environmental,Community / Users,challenge,12
Community / Users,Community Management,challenge,11
Govt / External Finance,Capacity Building,challenge,11
Planning,Service Performance,challenge,11
Community / Users,Infrastructure,challenge,10
Coordination,Service Performance,challenge,10
Infrastructure,Community Finance,challenge,10
Monitoring,O&M,challenge,10
Private Sector,O&M,challenge,10
Capacity Building,Community Finance,challenge,9
Capacity Building,Sustainability,challenge,9
Community Management,Community Finance,challenge,9
Coordination,Govt / External Finance,challenge,9
Laws + Regulations,Community Finance,challenge,9
Capacity Building,Capacity Building,challenge,8
Community / Users,Environmental,challenge,8
Community / Users,O&M,challenge,8
Coordination,Community / Users,challenge,8
Coordination,Coordination,challenge,8
Environmental,O&M,challenge,8
Govt Management,Sustainability,challenge,8
O&M,Community Finance,challenge,8
Politics,Community Finance,challenge,8
Community Management,Capacity Building,challenge,7
Community Management,Community Management,challenge,7
Govt / External Finance,Community / Users,challenge,7
Govt Management,Govt / External Finance,challenge,7
Infrastructure,Community / Users,challenge,7
Planning,Infrastructure,challenge,7
Capacity Building,Community Management,challenge,6
Community Management,Community / Users,challenge,6
Govt / External Finance,Govt Management,challenge,6
Infrastructure,Monitoring,challenge,6
Planning,Sustainability,challenge,6
Coordination,Community Management,challenge,5
Coordination,Govt Management,challenge,5
Coordination,Infrastructure,challenge,5
Govt Management,Coordination,challenge,5
O&M,Govt / External Finance,challenge,5
Politics,Coordination,challenge,5
Politics,Govt / External Finance,challenge,5
Community Finance,Community / Users,challenge,4
Govt / External Finance,Community Management,challenge,4
Govt / External Finance,Monitoring,challenge,4
Govt Management,Community / Users,challenge,4
Govt Management,Service Performance,challenge,4
Infrastructure,Govt Management,challenge,4
Monitoring,Community Finance,challenge,4
Monitoring,Infrastructure,challenge,4
O&M,Community / Users,challenge,4
Planning,Govt / External Finance,challenge,4
Politics,O&M,challenge,4
Politics,Service Performance,challenge,4
Service Performance,O&M,challenge,4
Capacity Building,Service Performance,challenge,3
Community / Users,Planning,challenge,3
Community Finance,Service Performance,challenge,3
Community Management,Monitoring,challenge,3
Community Management,Service Performance,challenge,3
Coordination,Monitoring,challenge,3
Environmental,Govt / External Finance,challenge,3
Govt / External Finance,Coordination,challenge,3
Govt / External Finance,Private Sector,challenge,3
Govt Management,Community Management,challenge,3
Govt Management,Infrastructure,challenge,3
Infrastructure,Capacity Building,challenge,3
Laws + Regulations,Capacity Building,challenge,3
Laws + Regulations,Infrastructure,challenge,3
Laws + Regulations,O&M,challenge,3
Monitoring,Community / Users,challenge,3
Monitoring,Service Performance,challenge,3
Monitoring,Sustainability,challenge,3
Politics,Capacity Building,challenge,3
Politics,Infrastructure,challenge,3
Service Performance,Infrastructure,challenge,3
Sustainability,Community / Users,challenge,3
Sustainability,Community Finance,challenge,3
Capacity Building,Community / Users,challenge,2
Community / Users,Capacity Building,challenge,2
Community / Users,Govt / External Finance,challenge,2
Community Management,Infrastructure,challenge,2
Community Management,Planning,challenge,2
Coordination,O&M,challenge,2
Coordination,Planning,challenge,2
Environmental,Govt Management,challenge,2
Govt Management,Monitoring,challenge,2
